Unnamed: 0,video_uid,qid,question,task,relevant_timestamps,mcq_test,answer_1,answer_2,answer_3,answer_4,answer_5,duration_in_seconds,scenarios,video_source,device
2816,342cb558-ab3e-4b04-8169-a68bbf06a448,342cb558-ab3e-4b04-8169-a68bbf06a448_6_28,Select the correct statement about spatial proximity depicted in the video,reasoning/spatial/proximity,,"A. The refrigerator is closer to the cabinet than the cooker in the kitchen.
B. The sink and gas cooker are adjacent to each other, with the refrigerator on the opposite wall in the kitchen.
C. The cabinet is equidistant from both the refrigerator and the cooker in the kitchen.
D. The vacuum cleaner is closer to the shoe rack than the foot mat in the hallway.
E. The wardrobe is equidistant from both the stool and the vacuum cleaner in the living room.",The refrigerator is closer to the cabinet than the cooker in the kitchen.,"The sink and gas cooker are adjacent to each other, with the refrigerator on the opposite wall in the kitchen.",The cabinet is equidistant from both the refrigerator and the cooker in the kitchen.,The vacuum cleaner is closer to the shoe rack than the foot mat in the hallway.,The wardrobe is equidistant from both the stool and the vacuum cleaner in the living room.,1800.13,"Cleaning / laundry, Cooking, Talking with family members",minnesota,Zshade
2818,342cb558-ab3e-4b04-8169-a68bbf06a448,342cb558-ab3e-4b04-8169-a68bbf06a448_20_1,Which image correctly depicts the spatial layout explored by the camera wearer?,reasoning/spatial/layout,,"A. spatial_layout_images/342cb558-ab3e-4b04-8169-a68bbf06a448/0/C.png
B. spatial_layout_images/342cb558-ab3e-4b04-8169-a68bbf06a448/0/E.png
C. spatial_layout_images/342cb558-ab3e-4b04-8169-a68bbf06a448/0/D.png
D. spatial_layout_images/342cb558-ab3e-4b04-8169-a68bbf06a448/0/A.png
E. spatial_layout_images/342cb558-ab3e-4b04-8169-a68bbf06a448/0/B.png",spatial_layout_images/342cb558-ab3e-4b04-8169-a68bbf06a448/0/C.png,spatial_layout_images/342cb558-ab3e-4b04-8169-a68bbf06a448/0/E.png,spatial_layout_images/342cb558-ab3e-4b04-8169-a68bbf06a448/0/D.png,spatial_layout_images/342cb558-ab3e-4b04-8169-a68bbf06a448/0/A.png,spatial_layout_images/342cb558-ab3e-4b04-8169-a68bbf06a448/0/B.png,1800.13,"Cleaning / laundry, Cooking, Talking with family members",minnesota,Zshade
2821,342cb558-ab3e-4b04-8169-a68bbf06a448,342cb558-ab3e-4b04-8169-a68bbf06a448_7_32,Select the correct statement regarding the spatial relationship of objects in the video,reasoning/spatial/relationship,,"A. The frying pan is located in the cupboard above the white tray
B. The soap bottle is placed directly behind the sink
C. The vacuum cleaner is stored to the right side of the wardrobe
D. The refrigerator is placed above the dishwasher
E. The frying pan is located on a shelf across from the white tray",The frying pan is located in the cupboard above the white tray,The soap bottle is placed directly behind the sink,The vacuum cleaner is stored to the right side of the wardrobe,The refrigerator is placed above the dishwasher,The frying pan is located on a shelf across from the white tray,1800.13,"Cleaning / laundry, Cooking, Talking with family members",minnesota,Zshade
2823,342cb558-ab3e-4b04-8169-a68bbf06a448,342cb558-ab3e-4b04-8169-a68bbf06a448_7_29,Select the correct statement regarding the spatial relationship of objects in the video,reasoning/spatial/relationship,,"A. The frying pan is located on a hook next to the white tray
B. The vacuum cleaner is stored on top of the wardrobe
C. The refrigerator is placed in a room separate from the dishwasher
D. The soap bottle is placed in a drawer under the sink
E. The refrigerator is placed to the immediate left of the dishwasher",The frying pan is located on a hook next to the white tray,The vacuum cleaner is stored on top of the wardrobe,The refrigerator is placed in a room separate from the dishwasher,The soap bottle is placed in a drawer under the sink,The refrigerator is placed to the immediate left of the dishwasher,1800.13,"Cleaning / laundry, Cooking, Talking with family members",minnesota,Zshade
2826,342cb558-ab3e-4b04-8169-a68bbf06a448,342cb558-ab3e-4b04-8169-a68bbf06a448_7_11,Where is the soap bottle placed in relation to the sink in the Kitchen?,reasoning/spatial/relationship,,"A. The soap bottle is placed on a shelf above the sink
B. The soap bottle is placed to the left side of the sink
C. The soap bottle is placed in a drawer under the sink
D. The soap bottle is placed on the windowsill next to the sink
E. The soap bottle is placed directly behind the sink",The soap bottle is placed on a shelf above the sink,The soap bottle is placed to the left side of the sink,The soap bottle is placed in a drawer under the sink,The soap bottle is placed on the windowsill next to the sink,The soap bottle is placed directly behind the sink,1800.13,"Cleaning / laundry, Cooking, Talking with family members",minnesota,Zshade
2833,342cb558-ab3e-4b04-8169-a68bbf06a448,342cb558-ab3e-4b04-8169-a68bbf06a448_7_30,Select the correct statement regarding the spatial relationship of objects in the video,reasoning/spatial/relationship,,"A. The vacuum cleaner is stored inside the wardrobe
B. The frying pan is located in the drawer below the white tray
C. The refrigerator is placed to the immediate right of the dishwasher
D. The vacuum cleaner is stored in a closet adjacent to the wardrobe
E. The soap bottle is placed on the windowsill next to the sink",The vacuum cleaner is stored inside the wardrobe,The frying pan is located in the drawer below the white tray,The refrigerator is placed to the immediate right of the dishwasher,The vacuum cleaner is stored in a closet adjacent to the wardrobe,The soap bottle is placed on the windowsill next to the sink,1800.13,"Cleaning / laundry, Cooking, Talking with family members",minnesota,Zshade
2839,342cb558-ab3e-4b04-8169-a68bbf06a448,342cb558-ab3e-4b04-8169-a68bbf06a448_6_3,"In the Hallway, which is closer to the vacuum cleaner: the foot mat or the shoe rack?",reasoning/spatial/proximity,,"A. The vacuum cleaner is stored directly under the foot mat, making it closer than the shoe rack
B. The foot mat is closer to the vacuum cleaner than the shoe rack
C. The vacuum cleaner is equidistant from both the foot mat and the shoe rack
D. The vacuum cleaner is closer to the shoe rack.
E. The shoe rack lies directly in front of the vacuum cleaner, with the foot mat at the far end of the hallway","The vacuum cleaner is stored directly under the foot mat, making it closer than the shoe rack",The foot mat is closer to the vacuum cleaner than the shoe rack,The vacuum cleaner is equidistant from both the foot mat and the shoe rack,The vacuum cleaner is closer to the shoe rack.,"The shoe rack lies directly in front of the vacuum cleaner, with the foot mat at the far end of the hallway",1800.13,"Cleaning / laundry, Cooking, Talking with family members",minnesota,Zshade
2844,342cb558-ab3e-4b04-8169-a68bbf06a448,342cb558-ab3e-4b04-8169-a68bbf06a448_6_26,Select the correct statement about spatial proximity depicted in the video,reasoning/spatial/proximity,,"A. The foot mat is closer to the vacuum cleaner than the shoe rack in the hallway.
B. The gas cooker is closer to the refrigerator than the sink in the kitchen.
C. The stool is closer to the wardrobe than the vacuum cleaner in the living room.
D. The cabinet is situated between the refrigerator and the cooker, touching both in the kitchen.
E. The refrigerator is equidistant from both the gas cooker and the sink in the kitchen.",The foot mat is closer to the vacuum cleaner than the shoe rack in the hallway.,The gas cooker is closer to the refrigerator than the sink in the kitchen.,The stool is closer to the wardrobe than the vacuum cleaner in the living room.,"The cabinet is situated between the refrigerator and the cooker, touching both in the kitchen.",The refrigerator is equidistant from both the gas cooker and the sink in the kitchen.,1800.13,"Cleaning / laundry, Cooking, Talking with family members",minnesota,Zshade
2846,342cb558-ab3e-4b04-8169-a68bbf06a448,342cb558-ab3e-4b04-8169-a68bbf06a448_7_12,Where is the frying pan located in relation to the white tray in the Kitchen?,reasoning/spatial/relationship,,"A. The frying pan is located on a hook next to the white tray
B. The frying pan is located in the drawer below the white tray
C. The frying pan is located on a shelf across from the white tray
D. The frying pan is located on the countertop beside the white tray
E. The frying pan is located in the cupboard above the white tray",The frying pan is located on a hook next to the white tray,The frying pan is located in the drawer below the white tray,The frying pan is located on a shelf across from the white tray,The frying pan is located on the countertop beside the white tray,The frying pan is located in the cupboard above the white tray,1800.13,"Cleaning / laundry, Cooking, Talking with family members",minnesota,Zshade
2850,342cb558-ab3e-4b04-8169-a68bbf06a448,342cb558-ab3e-4b04-8169-a68bbf06a448_7_8,Where is the refrigerator placed in relation to the dishwasher?,reasoning/spatial/relationship,,"A. The refrigerator is placed above the dishwasher
B. The refrigerator is placed opposite of the dishwasher
C. The refrigerator is placed to the immediate right of the dishwasher
D. The refrigerator is placed in a room separate from the dishwasher
E. The refrigerator is placed to the immediate left of the dishwasher",The refrigerator is placed above the dishwasher,The refrigerator is placed opposite of the dishwasher,The refrigerator is placed to the immediate right of the dishwasher,The refrigerator is placed in a room separate from the dishwasher,The refrigerator is placed to the immediate left of the dishwasher,1800.13,"Cleaning / laundry, Cooking, Talking with family members",minnesota,Zshade
2852,342cb558-ab3e-4b04-8169-a68bbf06a448,342cb558-ab3e-4b04-8169-a68bbf06a448_7_31,Select the correct statement regarding the spatial relationship of objects in the video,reasoning/spatial/relationship,,"A. The refrigerator is placed opposite of the dishwasher
B. The soap bottle is placed to the left side of the sink
C. The soap bottle is placed on a shelf above the sink
D. The frying pan is located on the countertop beside the white tray
E. The vacuum cleaner is stored behind the wardrobe",The refrigerator is placed opposite of the dishwasher,The soap bottle is placed to the left side of the sink,The soap bottle is placed on a shelf above the sink,The frying pan is located on the countertop beside the white tray,The vacuum cleaner is stored behind the wardrobe,1800.13,"Cleaning / laundry, Cooking, Talking with family members",minnesota,Zshade
2855,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_7_17,Where is the scaffold board placed in relation to the bamboo used for construction at the construction site?,reasoning/spatial/relationship,,"A. The scaffold board is placed to the immediate right of the bamboo
B. The scaffold board is placed to the immediate left of the bamboo
C. The scaffold board is placed directly above the bamboo
D. The scaffold board is placed leaning against the bamboo
E. The scaffold board is placed underneath the bamboo",The scaffold board is placed to the immediate right of the bamboo,The scaffold board is placed to the immediate left of the bamboo,The scaffold board is placed directly above the bamboo,The scaffold board is placed leaning against the bamboo,The scaffold board is placed underneath the bamboo,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2857,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_7_19,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The pan is placed to the immediate right of the bucket at the construction site
B. The bamboo scaffold is located to the immediate right of the stairway at the construction site
C. The cement bag is stored to the immediate left of the bowl used for mixing at the construction site
D. The scaffold board is placed leaning against the bamboo at the construction site
E. The head pan is located underneath the brick trowel at the construction site",The pan is placed to the immediate right of the bucket at the construction site,The bamboo scaffold is located to the immediate right of the stairway at the construction site,The cement bag is stored to the immediate left of the bowl used for mixing at the construction site,The scaffold board is placed leaning against the bamboo at the construction site,The head pan is located underneath the brick trowel at the construction site,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2858,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_7_12,Where is the cement bag stored in relation to the bowl used for mixing at the construction site?,reasoning/spatial/relationship,,"A. The cement bag is stored behind the bowl
B. The cement bag is stored on the right side of the bowl
C. The cement bag is stored on a shelf directly above the bowl
D. The cement bag is stored underneath the bowl
E. The cement bag is stored to the immediate left of the bowl",The cement bag is stored behind the bowl,The cement bag is stored on the right side of the bowl,The cement bag is stored on a shelf directly above the bowl,The cement bag is stored underneath the bowl,The cement bag is stored to the immediate left of the bowl,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2863,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_7_6,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The cement bag is stored on a shelf directly above the bowl used for mixing at the construction site
B. The scaffold board is placed to the immediate right of the bamboo used for construction at the construction site
C. The head pan is located to the immediate right of the brick trowel at the construction site
D. The pan is placed to the immediate left of the bucket at the construction site
E. The bamboo scaffold is located directly above the stairway at the construction site",The cement bag is stored on a shelf directly above the bowl used for mixing at the construction site,The scaffold board is placed to the immediate right of the bamboo used for construction at the construction site,The head pan is located to the immediate right of the brick trowel at the construction site,The pan is placed to the immediate left of the bucket at the construction site,The bamboo scaffold is located directly above the stairway at the construction site,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2864,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_7_3,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The scaffold board is placed underneath the bamboo used for construction at the construction site
B. The bamboo scaffold is adjacent to the stairway at the construction site
C. The pan is placed diagonally across from the bucket at the construction site
D. The head pan is located directly above the brick trowel at the construction site
E. The cement bag is stored underneath the bowl used for mixing at the construction site",The scaffold board is placed underneath the bamboo used for construction at the construction site,The bamboo scaffold is adjacent to the stairway at the construction site,The pan is placed diagonally across from the bucket at the construction site,The head pan is located directly above the brick trowel at the construction site,The cement bag is stored underneath the bowl used for mixing at the construction site,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2866,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_7_16,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The scaffold board is placed directly above the bamboo used for construction at the construction site
B. The head pan is located on a ledge to the left of the brick trowel at the construction site
C. The bamboo scaffold is located underneath the stairway at the construction site
D. The cement bag is stored behind the bowl used for mixing at the construction site
E. The pan is placed on top of the bucket at the construction site",The scaffold board is placed directly above the bamboo used for construction at the construction site,The head pan is located on a ledge to the left of the brick trowel at the construction site,The bamboo scaffold is located underneath the stairway at the construction site,The cement bag is stored behind the bowl used for mixing at the construction site,The pan is placed on top of the bucket at the construction site,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2867,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_6_4,Which is closer to the trowel at the construction site: the pan or the plastic cup?,reasoning/spatial/proximity,,"A. The plastic cup is closer to the trowel than the pan
B. They are both equally close
C. There is no pan
D. The pan is closer to the trowel than the plastic cup
E. There is no plastic cup",The plastic cup is closer to the trowel than the pan,They are both equally close,There is no pan,The pan is closer to the trowel than the plastic cup,There is no plastic cup,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2868,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_6_5,"On the construction site, is the brick trowel closer to the bamboo or the head pan?",reasoning/spatial/proximity,,"A. There is no brick trowel
B. They are both equally close
C. The brick trowel is closer to the bamboo than the head pan
D. The head pan is closer to the brick trowel than the bamboo
E. There is no head pan",There is no brick trowel,They are both equally close,The brick trowel is closer to the bamboo than the head pan,The head pan is closer to the brick trowel than the bamboo,There is no head pan,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2870,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_7_18,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The head pan is located opposite the brick trowel at the construction site
B. The bamboo scaffold is located at a 45-degree angle to the left of the stairway at the construction site
C. The cement bag is stored on the right side of the bowl used for mixing at the construction site
D. The scaffold board is placed to the immediate left of the bamboo used for construction at the construction site
E. The pan is placed directly behind the bucket at the construction site",The head pan is located opposite the brick trowel at the construction site,The bamboo scaffold is located at a 45-degree angle to the left of the stairway at the construction site,The cement bag is stored on the right side of the bowl used for mixing at the construction site,The scaffold board is placed to the immediate left of the bamboo used for construction at the construction site,The pan is placed directly behind the bucket at the construction site,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2871,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_6_21,"At the construction site, is the bamboo scaffold nearer to the cement bag or the bucket?",reasoning/spatial/proximity,,"A. There is no cement bag
B. The bamboo scaffold is closer to the bucket.
C. The cement bag is closer to the bamboo scaffold than the bucket.
D. There is no bucket
E. They are both equally close",There is no cement bag,The bamboo scaffold is closer to the bucket.,The cement bag is closer to the bamboo scaffold than the bucket.,There is no bucket,They are both equally close,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2874,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_6_11,Select the correct statement regarding the spatial proximity of objects in the video,reasoning/spatial/proximity,,"A. They are both equally close to the cement mixing bowl.
B. The head pan is closer to the brick trowel than the bamboo on the construction site.
C. The bamboo scaffold is closer to the bucket than the cement bag.
D. The pan is closer to the trowel than the plastic cup at the construction site.
E. The head pan is closer to the cement mixing bowl at the construction site.",They are both equally close to the cement mixing bowl.,The head pan is closer to the brick trowel than the bamboo on the construction site.,The bamboo scaffold is closer to the bucket than the cement bag.,The pan is closer to the trowel than the plastic cup at the construction site.,The head pan is closer to the cement mixing bowl at the construction site.,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2875,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_7_15,Where is the head pan located in relation to the brick trowel at the construction site?,reasoning/spatial/relationship,,"A. The head pan is located underneath the brick trowel
B. The head pan is located on a ledge to the left of the brick trowel
C. The head pan is located opposite the brick trowel
D. The head pan is located to the immediate right of the brick trowel
E. The head pan is located directly above the brick trowel",The head pan is located underneath the brick trowel,The head pan is located on a ledge to the left of the brick trowel,The head pan is located opposite the brick trowel,The head pan is located to the immediate right of the brick trowel,The head pan is located directly above the brick trowel,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2876,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_6_20,Select the correct statement regarding the spatial proximity of objects in the video,reasoning/spatial/proximity,,"A. The brick trowel is closer to the bamboo than the head pan on the construction site.
B. The scaffold is closer to the cement mixing bowl than the head pan.
C. They are both equally close to the brick trowel.
D. The pan is closer to the trowel than the plastic cup at the construction site.
E. The bamboo scaffold is closer to the cement bag than the bucket.",The brick trowel is closer to the bamboo than the head pan on the construction site.,The scaffold is closer to the cement mixing bowl than the head pan.,They are both equally close to the brick trowel.,The pan is closer to the trowel than the plastic cup at the construction site.,The bamboo scaffold is closer to the cement bag than the bucket.,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2877,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe,48d7d009-425f-4d1a-a6a9-a4742bd0d9fe_7_7,Where is the bamboo scaffold located in relation to the stairway at the construction site?,reasoning/spatial/relationship,,"A. The bamboo scaffold is located to the immediate right of the stairway
B. The bamboo scaffold is located at a 45-degree angle to the left of the stairway
C. The bamboo scaffold is located directly above the stairway
D. The bamboo scaffold is adjacent to the stairway
E. The bamboo scaffold is located underneath the stairway",The bamboo scaffold is located to the immediate right of the stairway,The bamboo scaffold is located at a 45-degree angle to the left of the stairway,The bamboo scaffold is located directly above the stairway,The bamboo scaffold is adjacent to the stairway,The bamboo scaffold is located underneath the stairway,3174.22,"jobs related to construction/renovation company
(Director of work, tiler, plumber, Electrician, Handyman, etc)",iiith,GoPro Hero Black 7
2891,478d7fa4-b174-4266-b0ff-bd180ba0b806,478d7fa4-b174-4266-b0ff-bd180ba0b806_7_24,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The rolling board is stored in the cabinet above the flat cooking pan
B. The fireplace is located in an alcove behind where the cooking stove stands
C. The stainless bowl is placed on the ground, to the left of the cooking pot's stand
D. The pounding stone is located on a raised platform behind the metal basin
E. The stainless basin is on the right side of the metal rod's countertop",The rolling board is stored in the cabinet above the flat cooking pan,The fireplace is located in an alcove behind where the cooking stove stands,"The stainless bowl is placed on the ground, to the left of the cooking pot's stand",The pounding stone is located on a raised platform behind the metal basin,The stainless basin is on the right side of the metal rod's countertop,4939.49,Cooking,iiith,GoPro Hero Black 7
2894,478d7fa4-b174-4266-b0ff-bd180ba0b806,478d7fa4-b174-4266-b0ff-bd180ba0b806_7_23,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The stainless bowl is stored in the overhead compartment above the cooking pot
B. The fireplace is situated on the opposite side of the room from the cooking stove
C. The stainless basin is hung on the hook to the left of where the metal rod is stored
D. The rolling board is mounted on the wall adjacent to the flat cooking pan
E. The pounding stone is kept to the right of the metal basin, near the wall",The stainless bowl is stored in the overhead compartment above the cooking pot,The fireplace is situated on the opposite side of the room from the cooking stove,The stainless basin is hung on the hook to the left of where the metal rod is stored,The rolling board is mounted on the wall adjacent to the flat cooking pan,"The pounding stone is kept to the right of the metal basin, near the wall",4939.49,Cooking,iiith,GoPro Hero Black 7
2895,478d7fa4-b174-4266-b0ff-bd180ba0b806,478d7fa4-b174-4266-b0ff-bd180ba0b806_7_1,Where is the rolling board located in relation to the flat cooking pan in the Kitchen?,reasoning/spatial/relationship,,"A. The rolling board is stored in the cabinet above the flat cooking pan
B. The rolling board is kept in the drawer next to where the flat cooking pan hangs
C. The rolling board is positioned on the counter across from the flat cooking pan
D. The rolling board is placed on a shelf directly below the flat cooking pan
E. The rolling board is mounted on the wall adjacent to the flat cooking pan",The rolling board is stored in the cabinet above the flat cooking pan,The rolling board is kept in the drawer next to where the flat cooking pan hangs,The rolling board is positioned on the counter across from the flat cooking pan,The rolling board is placed on a shelf directly below the flat cooking pan,The rolling board is mounted on the wall adjacent to the flat cooking pan,4939.49,Cooking,iiith,GoPro Hero Black 7
2901,478d7fa4-b174-4266-b0ff-bd180ba0b806,478d7fa4-b174-4266-b0ff-bd180ba0b806_7_2,Where is the stainless basin placed in relation to the metal rod in the Kitchen?,reasoning/spatial/relationship,,"A. The stainless basin is on the right side of the metal rod's countertop
B. The stainless basin is hung on the hook to the left of where the metal rod is stored
C. The stainless basin is kept inside the drawer, while the metal rod is on the shelf above
D. The stainless basin is placed on the floor, opposite the wall-mounted metal rod
E. The stainless basin is nested within the cupboard beneath the metal rod",The stainless basin is on the right side of the metal rod's countertop,The stainless basin is hung on the hook to the left of where the metal rod is stored,"The stainless basin is kept inside the drawer, while the metal rod is on the shelf above","The stainless basin is placed on the floor, opposite the wall-mounted metal rod",The stainless basin is nested within the cupboard beneath the metal rod,4939.49,Cooking,iiith,GoPro Hero Black 7
2904,478d7fa4-b174-4266-b0ff-bd180ba0b806,478d7fa4-b174-4266-b0ff-bd180ba0b806_7_3,Where is the pounding stone situated in relation to the metal basin in the Pounding Area?,reasoning/spatial/relationship,,"A. The pounding stone is kept to the right of the metal basin, near the wall
B. The pounding stone is placed diagonally across from the metal basin, in the corner
C. The pounding stone is located on the raised platform to the left of the metal basin
D. The pounding stone is positioned in front of the metal basin, on the same level
E. The pounding stone is located on a raised platform behind the metal basin","The pounding stone is kept to the right of the metal basin, near the wall","The pounding stone is placed diagonally across from the metal basin, in the corner",The pounding stone is located on the raised platform to the left of the metal basin,"The pounding stone is positioned in front of the metal basin, on the same level",The pounding stone is located on a raised platform behind the metal basin,4939.49,Cooking,iiith,GoPro Hero Black 7
2905,478d7fa4-b174-4266-b0ff-bd180ba0b806,478d7fa4-b174-4266-b0ff-bd180ba0b806_7_26,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The stainless basin is kept inside the drawer, while the metal rod is on the shelf above
B. The fireplace is located on the high platform to the left of the stove.
C. The pounding stone is placed diagonally across from the metal basin, in the corner
D. The stainless bowl is situated on the windowsill, opposite the cooking pot
E. The rolling board is positioned on the counter across from the flat cooking pan","The stainless basin is kept inside the drawer, while the metal rod is on the shelf above",The fireplace is located on the high platform to the left of the stove.,"The pounding stone is placed diagonally across from the metal basin, in the corner","The stainless bowl is situated on the windowsill, opposite the cooking pot",The rolling board is positioned on the counter across from the flat cooking pan,4939.49,Cooking,iiith,GoPro Hero Black 7
2906,478d7fa4-b174-4266-b0ff-bd180ba0b806,478d7fa4-b174-4266-b0ff-bd180ba0b806_7_4,Where is the fireplace located in relation to the cooking stove in the Kitchen?,reasoning/spatial/relationship,,"A. The fireplace is located on the high platform to the left of the stove.
B. The fireplace is located in an alcove behind where the cooking stove stands
C. The fireplace is situated on the opposite side of the room from the cooking stove
D. The fireplace is built into the wall to the right of the cooking stove
E. The fireplace is adjacent to the cooking stove, separated by a narrow aisle",The fireplace is located on the high platform to the left of the stove.,The fireplace is located in an alcove behind where the cooking stove stands,The fireplace is situated on the opposite side of the room from the cooking stove,The fireplace is built into the wall to the right of the cooking stove,"The fireplace is adjacent to the cooking stove, separated by a narrow aisle",4939.49,Cooking,iiith,GoPro Hero Black 7
2907,478d7fa4-b174-4266-b0ff-bd180ba0b806,478d7fa4-b174-4266-b0ff-bd180ba0b806_7_25,Select the correct statement about spatial relationships depicted in the video,reasoning/spatial/relationship,,"A. The pounding stone is located on the raised platform to the left of the metal basin
B. The rolling board is kept in the drawer next to where the flat cooking pan hangs
C. The fireplace is adjacent to the cooking stove, separated by a narrow aisle
D. The stainless basin is placed on the floor, opposite the wall-mounted metal rod
E. The stainless bowl is found in the pantry, away from the cooking pot's usual spot",The pounding stone is located on the raised platform to the left of the metal basin,The rolling board is kept in the drawer next to where the flat cooking pan hangs,"The fireplace is adjacent to the cooking stove, separated by a narrow aisle","The stainless basin is placed on the floor, opposite the wall-mounted metal rod","The stainless bowl is found in the pantry, away from the cooking pot's usual spot",4939.49,Cooking,iiith,GoPro Hero Black 7
2911,478d7fa4-b174-4266-b0ff-bd180ba0b806,478d7fa4-b174-4266-b0ff-bd180ba0b806_6_22,Select the correct statement regarding the spatial proximity of objects in the video,reasoning/spatial/proximity,,"A. There is no well in the kitchen
B. The pounding stone is closer to the well in the kitchen
C. They are both equally close to the pounding stone in the kitchen
D. The cooking pot is closer to the metal basin in the kitchen
E. The cooking pot lid is more proximate to the fireplace in the kitchen",There is no well in the kitchen,The pounding stone is closer to the well in the kitchen,They are both equally close to the pounding stone in the kitchen,The cooking pot is closer to the metal basin in the kitchen,The cooking pot lid is more proximate to the fireplace in the kitchen,4939.49,Cooking,iiith,GoPro Hero Black 7
2920,c49d068c-7607-4c66-94a7-d9ecc7bb5d9f,c49d068c-7607-4c66-94a7-d9ecc7bb5d9f_6_30,Select the correct statement regarding the spatial proximity of objects in the video,reasoning/spatial/proximity,,"A. There was no elevator stand in the assembly area
B. The base holder is equidistant from both the elevator stand and the loop part in the assembly area
C. The space rail pieces are nearer to the table than the marble roller coaster pieces in the assembly area
D. The sheet is closer to the corner parts than the shaft in the assembly area
E. The adjustable knife is closer to the manual than the shaft in the assembly area",There was no elevator stand in the assembly area,The base holder is equidistant from both the elevator stand and the loop part in the assembly area,The space rail pieces are nearer to the table than the marble roller coaster pieces in the assembly area,The sheet is closer to the corner parts than the shaft in the assembly area,The adjustable knife is closer to the manual than the shaft in the assembly area,1501.0,Crafting/knitting/sewing/drawing/painting,utokyo,Weeview
